CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
1155601,11556,3,,,,,,,,,,,
5003,50,3,1,,,,,,,,,,
5004,50,3,1,,,,,,,,,,
29403,294,3,1,,,,,,,,,,
30501,305,1,1,,,,,,,,,,
36501,365,3,1,,,,,,,,,,
49101,491,3,1,,,,,,,,,,
53001,530,3,1,,,,,,,,,,
59301,593,1,1,,,,,,,,,,
59302,593,1,1,,,,,,,,,,
63401,634,3,1,,,,,,,,,,
63402,634,3,1,,,,,,,,,,
66805,668,3,1,,,,,,,,,,
68903,689,3,1,,,,,,,,,,
69402,694,3,1,,,,,,,,,,
69403,694,3,1,,,,,,,,,,
69404,694,3,1,,,,,,,,,,
84502,845,3,1,,,,,,,,,,
86901,869,3,1,,,,,,,,,,
86902,869,3,1,,,,,,,,,,
90401,904,3,1,,,,,,,,,,
93001,930,1,1,,,,,,,,,,
93002,930,1,1,,,,,,,,,,
101903,1019,3,1,,,,,,,,,,
103304,1033,2,1,,,,,,,,,,
108704,1087,3,1,,,,,,,,,,
112101,1121,1,1,,,,,,,,,,
112102,1121,1,1,,,,,,,,,,
112601,1126,1,1,,,,,,,,,,
115902,1159,2,1,,,,,,,,,,
116201,1162,2,1,,,,,,,,,,
121404,1214,2,1,,,,,,,,,,
129802,1298,2,1,,,,,,,,,,
130201,1302,3,1,,,,,,,,,,
138201,1382,2,1,,,,,,,,,,
139801,1398,3,1,,,,,,,,,,
140003,1400,1,1,,,,,,,,,,
140701,1407,3,1,,,,,,,,,,
144303,1443,3,1,39,,2008,,,,,,,
147801,1478,3,1,,,,,,,,,,
147802,1478,3,1,,,,,,,,,,
152502,1525,3,1,,,,,,,,,,
153101,1531,3,1,,,,,,,,,,
168903,1689,1,1,,,,,,,,,,
170503,1705,1,1,,,,,,,,,,
171602,1716,2,1,,,,,,,,,,
172202,1722,1,1,,,,,,,,,,
172203,1722,1,1,,,,,,,,,,
172702,1727,3,1,,,,,,,,,,
173801,1738,3,1,,,,,,,,,,
175202,1752,1,1,,,,,,,,,,
180101,1801,3,1,,,,,,,,,,
190701,1907,3,1,,,,,,,,,,
200902,2009,3,1,57,,2008,,,,,,,
205301,2053,3,1,,,,,,,,,,
206101,2061,3,1,,,,,,,,,,
220604,2206,3,1,,,,,,,,,,
220605,2206,3,1,,,,,,,,,,
226703,2267,2,1,,,,,,,,,,
226709,2267,2,1,,,,,,,,,,
227401,2274,3,1,,,,,,,,,,
227502,2275,3,1,,,,,,,,,,
231906,2319,3,1,,,,,,,,,,
240204,2402,3,1,,,,,,,,,,
240404,2404,3,1,,,,,,,,,,
251101,2511,3,1,,,,,,,,,,
251901,2519,3,1,,,,,,,,,,
252503,2525,3,1,,,,,,,,,,
253104,2531,3,1,,,,,,,,,,
253601,2536,3,1,,,,,,,,,,
253602,2536,3,1,,,,,,,,,,
278902,2789,2,1,,,,,,,,,,
291001,2910,3,1,,,,,,,,,,
293501,2935,3,1,,,,,,,,,,
304601,3046,2,1,,,,,,,,,,
317601,3176,2,1,,,,,,,,,,
318203,3182,3,1,,,,,,,,,,
329801,3298,1,1,,,,,,,,,,
331603,3316,2,1,,,,,,,,,,
331605,3316,2,1,,,,,,,,,,
333903,3339,3,1,,,,,,,,,,
338301,3383,3,1,,,,,,,,,,
344802,3448,3,1,,,,,,,,,,
344804,3448,3,1,,,,,,,,,,
344805,3448,3,1,,,,,,,,,,
348502,3485,3,1,,,,,,,,,,
351201,3512,3,1,45,,2008,,,,,,,
354402,3544,2,1,,,,,,,,,,
354406,3544,2,1,,,,,,,,,,
360302,3603,3,1,,,,,,,,,,
362401,3624,3,1,,,,,,,,,,
363702,3637,3,1,,,,,,,,,,
364701,3647,3,1,,,,,,,,,,
364802,3648,3,1,,,,,,,,,,
365410,3654,3,1,42,,2008,,,,,,,
368804,3688,3,1,,,,,,,,,,
373703,3737,3,1,43,,2008,,,,,,,
379001,3790,3,1,,,,,,,,,,
381301,3813,3,1,,,,,,,,,,
381302,3813,3,1,,,,,,,,,,
386401,3864,3,1,,,,,,,,,,
394001,3940,2,1,,,,,,,,,,
397702,3977,2,1,,,,,,,,,,
408002,4080,3,1,,,,,,,,,,
408301,4083,3,1,,,,,,,,,,
417502,4175,2,1,,,,,,,,,,
419002,4190,3,1,,,,,,,,,,
423202,4232,3,1,,,,,,,,,,
428601,4286,3,1,,,,,,,,,,
443402,4434,3,1,,,,,,,,,,
446302,4463,2,1,,,,,,,,,,
447501,4475,3,1,,,,,,,,,,
447503,4475,3,1,,,,,,,,,,
448802,4488,3,1,,,,,,,,,,
450505,4505,3,1,,,,,,,,,,
452202,4522,3,1,,,,,,,,,,
469101,4691,3,1,,,,,,,,,,
469102,4691,3,1,,,,,,,,,,
470603,4706,3,1,,,,,,,,,,
474402,4744,3,1,,,,,,,,,,
477701,4777,3,1,,,,,,,,,,
479004,4790,3,1,,,,,,,,,,
479201,4792,3,1,,,,,,,,,,
480101,4801,3,1,,,,,,,,,,
481001,4810,3,1,,,,,,,,,,
481703,4817,3,1,,,,,,,,,,
488601,4886,3,1,,,,,,,,,,
488701,4887,3,1,,,,,,,,,,
495102,4951,3,1,,,,,,,,,,
497301,4973,3,1,,,,,,,,,,
500801,5008,3,1,,,,,,,,,,
505701,5057,3,1,,,,,,,,,,
505702,5057,3,1,,,,,,,,,,
508101,5081,2,1,,,,,,,,,,
508103,5081,2,1,,,,,,,,,,
515401,5154,3,1,,,,,,,,,,
524002,5240,3,1,,,,,,,,,,
528301,5283,3,1,,,,,,,,,,
538001,5380,3,1,,,,,,,,,,
538002,5380,3,1,,,,,,,,,,
552401,5524,3,1,,,,,,,,,,
558902,5589,3,1,,,,,,,,,,
565901,5659,3,1,,,,,,,,,,
565902,5659,3,1,,,,,,,,,,
568101,5681,3,1,,,,,,,,,,
568102,5681,3,1,,,,,,,,,,
568103,5681,3,1,,,,,,,,,,
568902,5689,3,1,,,,,,,,,,
571601,5716,3,1,,,,,,,,,,
571602,5716,3,1,,,,,,,,,,
573202,5732,1,1,42,,2008,,,,,,,
577304,5773,1,1,,,,,,,,,,
578202,5782,1,1,,,,,,,,,,
579305,5793,1,1,,,,,,,,,,
594401,5944,2,1,,,,,,,,,,
595103,5951,2,1,,,,,,,,,,
595601,5956,2,1,,,,,,,,,,
599101,5991,2,1,,,,,,,,,,
603603,6036,2,1,,,,,,,,,,
605801,6058,2,1,,,,,,,,,,
620301,6203,2,1,,,,,,,,,,
620302,6203,2,1,,,,,,,,,,
620401,6204,2,1,,,,,,,,,,
621401,6214,2,1,,,,,,,,,,
