"","ExtendedID","Subject1Tag","Subject2Tag","MultipleBirth","IsMz","Subject1LastSurvey","Subject2LastSurvey","RImplicitPass1","RImplicit","RImplicit2004","RImplicitDifference","RExplicit","RExplicitOldestSibVersion","RExplicitYoungestSibVersion","RExplicitPass1","RPass1","R"
"1",2,201,202,0,0,2004,2004,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"2",3,301,302,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"3",3,301,303,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"4",3,302,303,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"5",3,401,403,0,0,1998,NA,NA,0.25,0.25,0,NA,NA,NA,NA,NA,0.25
"6",8,801,802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"7",8,801,803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"8",8,802,803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"9",10,1001,1002,0,0,2002,1994,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"10",12,1201,1202,0,0,1994,1994,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"11",16,1601,1602,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"12",16,1601,1603,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"13",16,1602,1603,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"14",25,2501,2502,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"15",27,2701,2702,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"16",29,3001,3002,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"17",29,3001,3003,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"18",29,3002,3003,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"19",34,3501,3502,0,0,1998,1998,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"20",43,4301,4302,0,0,2008,2008,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.25
"21",43,4301,4303,0,0,2008,2008,NA,0.25,0.25,0,0.25,0.25,NA,0.25,0.25,0.25
"22",43,4301,4304,0,0,2008,2008,NA,0.25,0.375,-0.125,0.25,0.25,NA,0.25,0.25,0.25
"23",43,4302,4303,0,0,2008,2008,0.25,0.25,0.25,0,0.5,0.5,NA,0.5,0.25,0.25
"24",43,4302,4304,0,0,2008,2008,0.25,0.25,0.25,0,0.5,0.5,NA,0.5,0.25,0.25
"25",43,4303,4304,0,0,2008,2008,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"26",44,4401,4402,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"27",46,4601,4602,0,0,2006,2006,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"28",49,4901,4902,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"29",50,5001,5002,0,0,2002,2006,0.25,0.25,0.375,-0.125,0.25,NA,0.25,0.25,0.25,0.25
"30",50,5001,5003,0,0,2002,NA,NA,NA,0.375,NA,0.25,NA,NA,NA,NA,0.25
"31",50,5001,5004,0,0,2002,NA,NA,0.25,0.375,-0.125,0.25,NA,NA,NA,NA,0.25
"32",50,5001,5005,0,0,2002,2008,0.25,0.25,0.25,0,0.25,NA,0.25,0.25,0.25,0.25
"33",50,5002,5003,0,0,2006,NA,NA,NA,0.375,NA,0.5,0.5,NA,0.5,0.5,0.5
"34",50,5002,5004,0,0,2006,NA,NA,NA,0.375,NA,0.5,0.5,NA,0.5,0.5,0.5
"35",50,5002,5005,0,0,2006,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"36",50,5003,5004,2,0,NA,NA,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"37",50,5003,5005,0,0,NA,2008,NA,NA,0.375,NA,0.5,NA,0.5,0.5,0.5,0.5
"38",50,5004,5005,0,0,NA,2008,NA,NA,0.375,NA,0.5,NA,0.5,0.5,0.5,0.5
"39",57,5701,5702,0,0,2008,2004,NA,0.5,0.375,0.125,0.25,0.25,NA,0.25,0.25,0.25
"40",57,5701,5703,0,0,2008,2004,NA,NA,0.375,NA,0.25,0.25,NA,0.25,0.25,0.25
"41",57,5702,5703,0,0,2004,2004,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"42",58,5801,5802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"43",58,5801,5803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"44",58,5802,5803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"45",61,6101,6102,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"46",61,6101,6103,0,0,2008,2008,0.5,0.5,NA,NA,0.5,0.5,NA,0.5,0.5,0.5
"47",61,6102,6103,0,0,2008,2008,0.5,0.5,NA,NA,0.5,NA,NA,NA,0.5,0.5
"48",61,6201,6202,0,0,2008,2008,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"49",61,6201,6203,0,0,2008,2008,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"50",61,6202,6203,0,0,2008,2008,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"51",67,6801,6802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"52",67,6801,6803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"53",67,6802,6803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"54",74,7501,7502,0,0,2004,2004,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"55",78,7801,7802,0,0,2008,2006,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"56",78,7801,7803,0,0,2008,2006,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"57",78,7801,7804,0,0,2008,2006,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"58",78,7802,7803,0,0,2006,2006,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"59",78,7802,7804,0,0,2006,2006,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"60",78,7803,7804,0,0,2006,2006,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
"61",90,9101,9102,0,0,2008,2008,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"62",92,9201,9202,0,0,2000,2002,0.5,0.5,0.5,0,NA,NA,NA,NA,0.5,0.5
"63",94,9501,9502,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"64",94,9501,9503,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"65",94,9502,9503,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"66",96,9601,9602,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"67",96,9601,9603,0,0,2008,2008,NA,0.25,0.25,0,0.25,0.25,NA,0.25,0.25,0.25
"68",96,9602,9603,0,0,2008,2008,0.25,0.25,0.25,0,0.25,0.25,NA,0.25,0.25,0.25
"69",97,9701,9702,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"70",98,9801,9802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"71",98,9801,9803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"72",98,9802,9803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"73",99,9901,9902,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"74",100,10001,10002,0,0,2006,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"75",100,10001,10003,0,0,2006,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"76",100,10002,10003,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"77",110,11101,11102,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"78",110,11101,11103,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"79",110,11102,11103,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"80",110,11201,11202,0,0,2008,2008,NA,0.25,0.25,0,0.25,0.25,NA,0.25,0.25,0.25
"81",118,11801,11802,0,0,1986,1998,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA
"82",124,12401,12402,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"83",128,12801,12802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"84",137,13701,13702,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"85",137,13801,13802,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"86",137,13801,13803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"87",137,13802,13803,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"88",142,14301,14302,0,0,1998,2008,0.5,0.5,0.5,0,0.5,NA,0.5,0.5,0.5,0.5
"89",142,14301,14303,0,0,1998,2008,0.5,0.5,0.5,0,0.5,NA,0.5,0.5,0.5,0.5
"90",142,14301,14304,0,0,1998,2008,0.5,0.5,0.5,0,0.5,NA,0.5,0.5,0.5,0.5
"91",142,14302,14303,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"92",142,14302,14304,0,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"93",142,14303,14304,2,0,2008,2008,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
"94",142,14401,14402,0,0,2008,2006,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"95",142,14401,14403,0,0,2008,2006,0.5,0.5,0.5,0,0.5,0.5,NA,0.5,0.5,0.5
"96",142,14402,14403,0,0,2006,2006,0.5,0.5,0.5,0,0.5,NA,NA,NA,0.5,0.5
