"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"1",202,201,0.5,0,3,2,NA,11,23.02595112,NA,9,NA,111,103,3,2,NA,10,28.68895748,NA,9,NA,110,107
"2",302,301,0.5,0,3,2,0.510561207,27,20.98025712,14,11,13,102,100,3,2,1.901329387,24,19.36836735,14,10,12,80,103
"3",303,301,0.5,0,3,2,0.510561207,27,20.98025712,14,11,13,102,100,3,2,0.858253252,22,20.35865449,13,13,15,74,77
"4",303,302,0.5,0,3,2,1.901329387,24,19.36836735,14,10,12,80,103,3,2,0.858253252,22,20.35865449,13,13,15,74,77
"5",403,401,0.25,0,3,1,NA,17,22.59168242,15,NA,13,97,118,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"6",802,801,0.5,0,3,2,1.205945297,32,32.10403208,16,12,13,93,98,3,1,1.19573312,28,29.68192907,13,NA,10,102,105
"7",803,801,0.5,0,3,2,1.205945297,32,32.10403208,16,12,13,93,98,3,2,0.510561207,25,29.04958678,15,13,13,97,120
"8",803,802,0.5,0,3,1,1.19573312,28,29.68192907,13,NA,10,102,105,3,2,0.510561207,25,29.04958678,15,13,13,97,120
"9",1002,1001,0.5,0,3,2,0.510561207,19,20.17332415,17,14,16,114,103,3,2,NA,6,NA,NA,NA,NA,106,103
"10",1202,1201,0.5,0,3,1,NA,NA,NA,NA,NA,NA,106,120,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"11",1602,1601,0.5,0,3,1,NA,18,22.42634641,15,NA,12,98,118,3,1,NA,15,20.91846856,14,NA,13,99,110
"12",1603,1601,0.5,0,3,1,NA,18,22.42634641,15,NA,12,98,118,3,2,NA,NA,23.902,NA,NA,NA,92,114
"13",1603,1602,0.5,0,3,1,NA,15,20.91846856,14,NA,13,99,110,3,2,NA,NA,23.902,NA,NA,NA,92,114
"14",2502,2501,0.5,0,3,1,NA,17,25.24952741,NA,NA,14,114,115,3,2,NA,14,21.25472411,NA,NA,13,105,118
"15",2702,2701,0.5,0,3,2,0.510561207,20,26.62878788,19,12,14,125,135,3,1,NA,16,31.14761249,NA,NA,NA,135,105
"16",3002,3001,0.5,0,3,1,-0.764638203,25,11.4024654,19,NA,18,NA,NA,3,1,NA,15,27.89129141,NA,NA,18,NA,NA
"17",3003,3001,0.5,0,3,1,-0.764638203,25,11.4024654,19,NA,18,NA,NA,3,1,NA,16,21.28460208,NA,NA,16,NA,NA
"18",3003,3002,0.5,0,3,1,NA,15,27.89129141,NA,NA,18,NA,NA,3,1,NA,16,21.28460208,NA,NA,16,NA,NA
"19",3502,3501,0.5,0,3,2,NA,8,NA,NA,NA,NA,99,110,3,2,NA,NA,NA,NA,NA,NA,106,135
"20",4302,4301,0.25,0,3,2,-0.532514927,25,30.11085916,14,12,14,97,85,3,2,-0.880206972,19,20.11706556,14,12,13,94,92
"21",4303,4301,0.25,0,3,2,-0.532514927,25,30.11085916,14,12,14,97,85,3,2,NA,NA,NA,NA,NA,NA,115,91
"22",4303,4302,0.25,0,3,2,-0.880206972,19,20.11706556,14,12,13,94,92,3,2,NA,NA,NA,NA,NA,NA,115,91
"23",4304,4301,0.25,0,3,2,-0.532514927,25,30.11085916,14,12,14,97,85,3,2,NA,NA,NA,NA,NA,NA,82,94
"24",4304,4302,0.25,0,3,2,-0.880206972,19,20.11706556,14,12,13,94,92,3,2,NA,NA,NA,NA,NA,NA,82,94
