"R0000100","R0000500","R0000300","R0000400","R0410300","R0410100","R0410200","R0000900","R0001000","R0219114","R0006200","R0006300","R0007400","R0007500"
1,1963,7,25,1959,9,4,353,18,-3,77,-3,-4,6
2,1959,3,12,1960,-5,13,-4,39,20,-2,-4,17,2
3,1964,1,17,-5,-5,13,593,10,40,4,42,-3,29
4,1959,6,28,1964,7,16,446,6,27,79,24,-4,32
5,1958,10,17,1958,-5,-5,-3,8,49,17,18,72,29
6,1962,2,6,1964,3,-5,537,44,36,-2,-4,-4,20
7,1964,7,22,1963,5,17,512,31,21,-2,50,70,20
8,1959,3,-3,-5,10,1,529,33,50,-4,31,64,33
9,1964,11,17,1961,3,23,500,75,13,-3,36,79,11
10,1958,3,5,1959,7,7,-2,-3,-3,51,-3,13,31
11,1957,1,19,1962,8,-5,324,18,27,7,-4,31,15
12,1961,2,21,-5,10,31,-2,39,46,-1,17,53,5
13,1959,1,10,1964,2,20,-1,25,-4,6,19,-3,33
14,1963,1,29,1959,8,23,440,30,28,-4,27,39,28
15,1962,7,14,1964,-5,14,764,-2,24,42,-2,61,-2
16,1958,3,10,1962,2,15,433,69,31,21,20,-3,30
17,1957,9,13,1957,-5,1,351,65,29,24,8,71,37
18,1959,4,3,1964,12,11,630,62,28,70,6,70,11
19,1961,1,3,1961,12,18,-4,5,7,27,23,33,41
20,1961,3,31,-5,9,13,482,66,26,45,-2,26,-3
21,1958,7,6,1957,4,-5,596,-1,39,18,24,-2,10
22,1960,4,24,1960,-5,14,265,51,8,9,29,-3,10
23,1964,3,8,1959,10,30,761,43,-4,13,27,62,31
24,1957,3,1,1962,4,11,354,-2,-3,-1,-4,16,-2
25,1959,5,10,1958,7,11,774,27,43,-1,-4,79,41
26,1958,3,11,1960,1,20,206,53,41,-2,27,65,30
27,1962,6,5,1963,2,24,752,36,49,-1,26,15,-2
28,1964,7,9,1964,-5,28,271,39,2,6,46,-4,31
29,1958,1,5,1963,11,9,664,-2,22,28,-2,77,4
30,1958,3,-2,-5,-5,19,-4,18,15,34,43,21,8
31,1963,6,18,1961,2,9,-3,5,4,37,6,51,40
32,1958,5,-2,1961,12,9,395,39,8,13,-2,-2,-4
33,1961,6,-3,1962,1,29,780,41,-3,8,6,46,39
34,1961,8,6,1962,3,-5,711,-1,-3,66,18,47,-3
35,1960,1,23,1964,4,19,505,3,30,79,23,-2,33
36,1959,12,6,1964,9,30,-2,-3,41,-2,31,-3,31
37,1964,7,19,1962,3,23,207,79,25,74,3,-3,16
38,1959,6,29,1961,-5,19,715,12,-4,-2,30,-3,-3
39,1963,7,20,1962,-5,-5,463,41,36,48,38,4,9
40,1960,5,5,1963,-5,19,4,20,-4,26,-4,14,-2
41,1959,10,30,1957,6,5,39,8,50,34,2,49,8
42,1957,2,7,1962,7,18,-4,47,20,5,14,40,42
43,1961,9,-2,1958,12,15,525,8,4,58,40,-4,38
44,1960,6,-2,1957,-5,27,292,30,11,6,3,62,49
45,1961,11,13,1960,4,30,819,67,-3,68,13,-4,15
46,1964,1,14,1964,8,-5,495,62,36,47,38,13,-2
47,1960,2,11,1961,4,25,34,61,17,19,22,58,1
48,1957,8,29,1963,12,14,519,32,41,-2,5,78,41
49,1963,6,16,-5,3,22,248,-2,18,12,16,38,40
50,1962,4,-3,1961,2,1,67,-1,47,19,9,32,21
51,1959,12,21,-5,-5,24,713,11,8,-2,28,15,31
52,1957,5,22,1962,8,6,11,25,44,70,9,28,42
53,1963,9,9,1962,10,21,674,79,22,76,33,-2,21
