"Subject1Tag","Subject2Tag","HasIllegalBirthday1979_1","HasIllegalBirthday1979_2","DobDifferenceInDays1979V1979","DobDifferenceInDays1979V1981","DobDifferenceInDays1981V1979","DobDifferenceInDays1981V1981","DobDayIsMissing1979_1","DobDayIsMissing1979_2","DobDayIsMissing1981_1","DobDayIsMissing1981_2","BirthSubjectCountyMissing_1","BirthSubjectCountyMissing_2","BirthSubjectCountyEqual","BirthSubjectStateMissing_1","BirthSubjectStateMissing_2","BirthSubjectStateEqual","BirthSubjectCountryMissing_1","BirthSubjectCountryMissing_2","BirthSubjectCountryEqual","BirthMotherStateMissing_1","BirthMotherStateMissing_2","BirthMotherStateEqual","BirthMotherCountryMissing_1","BirthMotherCountryMissing_2","BirthMotherCountryEqual","BirthFatherStateMissing_1","BirthFatherStateMissing_2","BirthFatherStateEqual","BirthFatherCountryMissing_1","BirthFatherCountryMissing_2","BirthFatherCountryEqual"
300,400,0,0,1664,-181,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
500,600,0,0,-1208,NA,NA,NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1300,1400,0,0,-1480,-225,387,1642,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1700,1800,0,0,-567,-2646,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2100,0,0,999,NA,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2300,2400,0,0,2564,697,973,-894,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2700,2800,0,0,-765,NA,-501,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2900,3000,0,0,-69,NA,2065,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3200,3300,0,0,-1127,-1355,177,-51,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3400,3500,0,0,561,-987,NA,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3700,3800,0,0,1847,NA,998,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
4000,4100,0,0,188,1065,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5000,5100,0,0,846,NA,408,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5500,5600,0,0,-517,-1241,1030,306,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5800,5900,0,0,-636,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5800,6000,0,0,-291,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5900,6000,0,0,345,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
6100,6200,0,0,300,417,1618,1735,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6300,6400,0,0,173,1071,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
6300,6500,0,0,-682,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6400,6500,0,0,-855,NA,-1753,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
6700,6800,0,0,1549,NA,-124,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
7000,7100,0,0,2557,508,428,-1621,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
7400,7500,0,0,761,13,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7400,7600,0,0,-1615,-123,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7500,7600,0,0,-2376,-884,-1628,-136,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7800,7900,0,0,-1203,-1308,-1501,-1606,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8000,8100,0,0,108,-1160,45,-1223,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
8300,8400,0,0,1029,308,NA,NA,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
8500,8600,0,0,-506,-862,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8500,8700,0,0,605,-814,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600,8700,0,0,1111,-308,1467,48,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,9100,0,0,13,1557,NA,NA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9400,9500,0,0,111,-246,-182,-539,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10100,10200,0,0,-1398,NA,-1627,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
