"R0000100","R0000149","R0000150","R0000151","R0000152","R0000153","R0000154","R0000155","R0000156","R0000157","R0000158","R0000159","R0000162","R0000163","R0000164","R0000165","R0000166","R0214700","R0214800","R4125101","R4125801","R4126501","R4127201","R4127901","R4128601","R4129301","R4130001","R4130701","R4131401","R4132101","R4132801","R4133701","R4521500","R4521700","R4521800","R4521900","R4522000","R4522100","R4522200","R4522300","R4522400","R4522500","R4522600","R4522700","R4522800","T0002000","T0002100","T0002200","T0002300","T0002400","T0002500","T0002600","T0002700","T0002800","T0002900","T0003000","T0003100","T0003200","T0003300","T0003400","T0003500","T0003600","T0003700","T0003800","T0003900","T0004000","T0004100","T0004200","T0004300","T0004400","T0004500"
1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,1,-4,-4,-4,-4,-4
3,3,4,7,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,-4,-4,3,2,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
4,3,3,7,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,-4,-4,3,2,-4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,5,6,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,5,5,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,3,1,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
8,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,-4,-4,-4,-4,-4,-4,1,1,1,1,1,1,1,-4,-4,-4,-4,-4,-4
9,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,0,1,0,-4,-4,-4,-4,-4,-4,-4,1,1,0,1,0,1,-4,-4,-4,-4,-4,-4,-4
10,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
