"H0001600","H0001700","H0001800","H0001900","H0002000","H0002100","H0002200","H0002300","H0013600","H0013700","R0000100","R0000149","R0000300","R0000500","R0009100","R0009300","R0172500","R0172600","R0214700","R0214800","R0216500","R0329200","R0329210","R0406510","R0410100","R0410300","R0530700","R0530800","R0619010","R0809900","R0810000","R0898310","R1045700","R1045800","R1145110","R1427500","R1427600","R1520310","R1774100","R1774200","R1794600","R1794700","R1891010","R2156200","R2156300","R2258110","R2365700","R2365800","R2445510","R2742500","R2742600","R2871300","R2986100","R2986200","R3075000","R3302500","R3302600","R3401700","R3573400","R3573500","R3657100","R3917600","R3917700","R4007600","R4100200","R4100201","R4100202","R4418700","R4500200","R4500201","R4500202","R5081700","R5167000","R5200200","R5200201","R5200202","R6435300","R6435301","R6435302","R6479800","R6963300","R6963301","R6963302","R7007500","R7656300","R7656301","R7656302","R7704800","R8423200","R8423201","R8423202","R8497200","R9908000","T0967300","T0967301","T0967302","T0989000","T2190500","T2190501","T2190502","T2210800","T2260600","T2260601","T2260602","T3108700"
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,9,58,1,1,3,3,3,2,20,-5,-5,-5,9,58,6,25,22,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,1,55,0,-4,-4,-4,-4,-4,-4,2,2,1,59,8,7,2,28,3,2,20,3,3,21,1,59,2,23,22,2,6,23,2,8,24,1,28,25,3,7,2,10,26,2,16,27,4,27,28,9,27,29,6,7,30,8,7,31,7,12,32,11,12,33,6,14,93,34,26,8,1994,35,37,4,6,1996,20,4,1998,39,5,6,2000,41,17,6,2002,43,9,6,2004,45,2,12,4,2006,47,4,3,2008,49,10,3,2010,51
1,-4,-4,1,4920,-4,-4,-4,-4,-4,3,3,8,61,3,1,2,8,3,2,17,5,20,18,-5,-5,-5,-5,-5,3,11,20,3,17,21,2,27,22,2,2,1,31,23,4,13,24,3,20,25,8,5,26,7,11,27,11,1,29,9,12,30,8,27,30,6,2,93,31,19,9,1994,33,34,10,6,1996,7,6,1998,36,26,7,2000,38,19,7,2002,40,-5,-5,-5,-5,3,27,7,2006,44,3,11,2008,47,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,3,8,62,3,2,2,8,3,2,16,-5,-5,-5,8,62,3,24,18,3,3,19,1,28,20,5,21,21,3,2,4,13,22,6,15,23,8,9,25,9,19,26,12,14,27,9,12,28,-5,-5,-5,10,17,30,10,2,93,31,-5,-5,-5,-5,33,7,6,1996,13,6,1998,35,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,7,59,1,0,4,19,3,1,19,4,3,20,7,59,3,12,21,3,1,22,4,22,23,3,30,24,-5,-5,-5,-5,-5,6,26,26,-5,-5,-5,11,29,29,12,5,30,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,4,54,1,3039,-4,-4,-4,-4,-4,6,5,10,60,1,1,4,21,3,1,18,3,27,19,10,60,3,7,20,3,3,21,3,9,22,3,21,23,4,4,4,15,24,3,18,25,4,11,26,7,7,27,7,7,28,7,17,29,6,26,30,7,1,31,7,12,93,32,14,9,1994,33,35,29,5,1996,-5,-5,-5,-5,20,5,2000,39,19,10,2002,41,31,1,2005,45,3,28,9,2006,45,19,3,2008,47,14,7,2010,49
-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,7,6,64,1,0,2,13,3,1,14,6,16,16,6,64,2,19,16,4,30,17,3,22,18,3,6,19,4,4,5,25,20,5,28,21,8,2,23,11,28,24,7,11,25,10,30,26,7,17,27,6,21,28,6,30,93,29,23,8,1994,30,31,30,4,1996,14,4,1998,33,16,5,2000,35,15,7,2002,38,3,2,2004,39,2,29,3,2006,41,31,3,2008,43,26,1,2010,45
1,-4,-4,1,3625,5860,7851,-4,0,4,8,8,7,58,7,7,2,15,3,2,20,2,1,21,7,58,2,1,22,1,20,23,1,19,24,1,21,25,4,7,1,29,26,3,15,27,3,23,28,8,23,30,9,8,31,9,9,32,7,7,32,6,3,33,6,5,93,34,3,8,1994,36,37,26,5,1996,5,5,1998,39,10,8,2000,42,15,6,2002,43,7,3,2004,45,3,21,3,2006,47,27,1,2008,49,20,12,2009,51
1,-4,-4,0,-4,-4,-4,-4,-4,-4,9,9,7,63,4,0,2,13,3,1,15,2,9,16,7,63,2,20,17,1,24,18,1,28,19,1,30,20,4,7,2,14,21,2,18,22,7,16,23,9,14,25,6,20,25,10,2,27,9,9,28,9,8,29,6,16,93,29,28,6,1994,30,32,11,6,1996,5,5,1998,34,6,9,2000,37,23,4,2002,38,26,10,2004,41,2,15,10,2006,43,26,3,2008,44,28,2,2010,46
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,10,10,10,60,3,2,2,7,3,2,18,2,19,19,10,60,2,24,20,3,24,21,3,23,22,3,2,23,4,7,5,14,24,-5,-5,-5,-5,-5,-5,9,1,27,-5,-5,-5,9,6,29,11,14,31,8,13,31,8,19,93,32,16,8,1994,33,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
