"R0000100","R0214700","R0214800","R0481600","R0481700","R0618200","R0618300","R0618301","R0779800","R0779900","R1773900","R1774000","T0897300","T0897400","T0897500","T2053800","T2053900","T2054000","T3024700","T3024800","T3024900"
1,3,2,505,-1,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,3,2,502,120,12,9,6841,62,125,62,118,160,5,2,160,5,2,165,5,2
3,3,2,-5,-5,51,46,49444,70,160,70,152,212,5,10,189,5,10,-5,-5,-5
4,3,2,507,110,62,48,55761,67,109,67,126,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,3,1,503,130,90,99,96772,63,135,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,3,1,504,200,99,99,99393,65,200,65,200,187,5,5,190,5,5,190,5,5
7,3,1,505,131,33,35,47412,67,138,69,155,175,5,9,165,5,9,155,-4,68
8,3,2,505,179,43,42,44022,65,169,64,155,246,5,3,240,5,4,209,5,3
9,3,1,506,145,55,51,59683,65,155,65,159,180,5,6,190,5,7,190,5,6
10,3,2,506,115,27,21,30039,66,115,66,135,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,3,1,511,155,71,81,85347,71,155,71,155,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,3,2,506,118,94,89,89641,66,116,66,109,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,3,1,511,180,78,85,72313,71,175,72,175,235,6,0,-5,-5,-5,-5,-5,-5
14,3,2,507,135,88,92,98798,67,140,67,145,180,5,8,200,5,8,220,5,8
15,3,1,601,185,83,69,82260,74,205,74,185,240,6,2,230,6,2,225,6,2
16,3,2,503,130,63,57,50283,63,135,63,135,160,5,4,160,5,4,180,5,4
17,3,1,509,160,84,88,89669,70,160,69,160,188,5,10,183,5,9,175,5,9
18,3,1,509,155,99,98,95977,68,145,66,155,173,5,9,180,5,9,185,5,9
19,3,2,504,120,-4,-4,-4,64,125,65,125,103,5,5,-5,-5,-5,90,5,5
20,3,2,504,120,54,63,67021,61,120,64,120,130,5,4,135,5,4,-5,-5,-5
21,3,2,502,133,94,94,88416,62,130,62,138,150,5,2,160,5,2,170,5,2
22,3,2,504,110,84,84,89167,64,112,64,115,160,5,4,135,5,4,140,5,4
23,3,1,600,175,94,91,83214,73,175,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,3,1,511,180,66,61,66029,71,175,72,190,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,3,2,507,125,60,57,51390,66,130,67,120,127,5,6,125,5,6,130,5,6
26,3,1,507,136,96,96,97075,67,136,67,143,-5,-5,-5,-5,-5,-5,184,5,8
27,3,2,503,123,85,97,96674,63,115,63,115,150,5,2,175,5,2,185,5,2
28,3,2,505,114,93,93,92784,65,108,65,120,-5,-5,-5,-5,-5,-5,145,5,5
29,3,2,507,146,18,13,25905,66,142,66,125,150,5,8,165,5,9,160,5,8
30,3,2,504,147,14,9,8528,64,150,64,165,95,5,4,83,5,4,180,5,4
31,1,1,508,150,-4,-4,-4,69,160,69,180,205,5,10,200,5,10,208,5,10
32,1,2,501,105,-4,-4,-4,61,98,62,100,100,5,2,-5,-5,-5,103,5,2
33,1,1,-5,-5,-4,-4,-5,-5,-5,-5,-5,230,5,7,225,5,7,222,5,7
34,3,1,510,185,15,13,6069,69,195,70,200,220,5,11,210,5,10,220,5,11
35,3,2,504,113,45,44,53046,63,113,62,125,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,3,1,600,225,-4,-4,-4,69,157,70,150,167,5,10,180,5,10,171,5,10
37,3,2,507,124,60,59,56290,67,117,67,130,160,5,7,165,5,7,170,5,6
38,3,2,504,108,17,13,12788,63,110,63,118,150,5,4,157,5,4,165,5,4
39,3,1,511,170,35,29,26851,71,170,72,180,200,6,0,195,6,0,198,6,0
40,3,1,507,175,38,38,38419,66,170,66,160,170,6,6,170,5,6,168,5,6
41,3,1,602,230,45,54,57095,73,195,73,205,240,6,2,240,6,2,238,6,2
42,3,1,511,210,20,16,22326,72,198,72,230,260,6,0,285,6,0,270,6,0
43,3,2,507,130,9,13,15325,67,135,64,140,235,5,5,230,5,6,216,5,6
44,3,2,504,105,42,37,37061,64,105,64,107,129,5,4,125,5,4,125,5,4
45,3,1,510,195,43,49,50629,70,195,68,208,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,3,2,502,115,58,63,78095,62,125,62,122,135,5,2,140,5,2,-5,-5,-5
47,3,1,601,190,78,77,75473,73,195,72,198,233,6,1,235,6,1,235,6,1
48,3,1,-5,-5,36,32,24806,72,145,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,3,2,509,135,81,66,71226,69,145,69,150,200,5,9,215,5,9,220,5,9
50,3,2,505,170,87,79,78742,64,185,64,190,200,5,5,200,5,5,-2,5,6
51,3,1,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,3,1,600,180,89,86,69080,72,182,72,190,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,1,1,509,237,38,41,43641,67,207,68,220,-1,5,8,245,5,8,230,5,8
54,3,1,601,195,-4,-4,-4,73,165,73,185,-5,-5,-5,-5,-5,-5,225,6,0
55,3,1,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,3,2,505,135,44,56,76020,65,150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,3,2,507,128,38,38,30830,67,128,66,118,145,5,7,140,5,7,135,5,6
58,3,2,502,130,96,87,91625,62,125,62,130,125,5,3,124,5,3,125,5,2
59,3,1,509,190,96,97,98841,69,205,69,193,230,5,9,245,5,9,250,5,9
60,3,1,511,190,68,75,82980,-5,-5,69,199,-5,-5,-5,-5,-5,-5,-5,-5,-5
61,3,2,505,120,99,99,99150,65,116,66,138,210,5,7,195,5,6,218,5,6
62,3,2,510,175,30,31,36384,70,180,70,180,261,5,10,286,5,10,280,5,10
63,3,1,510,160,95,91,87934,72,150,71,165,178,5,11,183,5,10,180,5,10
64,3,1,600,185,79,88,92989,72,175,72,175,-5,-5,-5,-5,-5,-5,-5,-5,-5
65,3,2,506,135,72,71,75171,65,130,66,140,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,3,1,508,140,14,18,22649,68,164,67,175,200,5,8,220,5,8,200,5,9
67,3,1,601,185,99,99,93246,73,200,-5,-5,190,6,1,208,6,2,205,6,2
68,3,2,509,130,99,99,100000,69,130,70,135,137,5,10,143,5,10,140,5,10
69,3,1,601,155,72,78,86703,73,175,75,175,205,6,2,205,6,2,205,6,2
70,3,1,509,170,-4,-4,-4,70,182,69,210,-5,-5,-5,225,5,10,230,5,10
71,3,1,510,155,99,99,98077,70,160,70,165,-5,-5,-5,-5,-5,-5,173,5,10
72,3,2,505,140,91,84,80538,65,145,66,155,145,5,6,155,5,6,140,5,6
73,3,1,510,179,64,71,81527,70,180,70,175,215,5,10,223,5,10,225,5,10
74,3,2,505,160,88,93,95536,66,170,65,180,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,3,2,504,115,65,68,83379,65,110,65,116,118,5,4,115,5,4,115,5,4
76,3,1,601,160,27,31,42780,73,160,73,170,202,6,2,195,6,2,200,6,1
77,3,2,503,125,60,84,96835,64,135,63,135,147,5,3,150,5,3,148,5,3
78,3,2,504,122,78,88,85347,64,128,64,122,135,5,4,-5,-5,-5,-5,-5,-5
79,3,1,511,160,97,96,96084,72,165,72,170,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,3,1,507,130,60,70,78759,68,125,68,130,142,5,8,143,5,8,146,5,9
81,3,1,509,170,21,21,29497,69,180,71,165,200,6,0,-5,-5,-5,-5,-5,-5
82,2,1,511,160,1,2,2168,-5,-5,68,175,-5,-5,-5,260,5,9,-5,-5,-5
83,2,1,511,185,4,4,2366,71,184,73,184,210,6,1,154,6,0,225,6,0
84,2,1,508,155,13,12,21008,67,135,68,184,230,5,9,245,5,10,240,5,10
85,2,1,506,139,1,1,2427,66,150,64,139,150,5,6,160,5,6,160,5,6
86,2,2,501,140,1,3,7198,60,135,59,140,160,4,11,160,5,1,-2,5,1
87,2,1,508,154,2,3,12463,68,160,68,170,187,5,8,182,5,9,179,8,9
88,2,1,600,155,88,92,80798,72,158,72,156,190,6,0,201,6,0,203,6,0
89,2,2,507,132,84,80,84980,67,130,67,130,180,5,7,174,5,7,-5,-5,-5
90,3,1,511,150,74,89,80298,71,155,72,156,160,5,11,165,5,11,155,5,11
91,3,2,507,127,19,15,22823,67,135,67,136,150,5,7,150,5,7,-2,5,7
92,3,2,411,110,33,37,44375,59,110,59,140,191,5,0,200,4,11,210,5,0
93,3,1,509,140,15,18,28438,67,138,70,154,185,5,10,185,5,10,180,5,10
94,3,1,508,150,-4,-4,-4,68,150,68,155,165,5,8,160,5,8,155,5,8
95,3,2,505,125,27,26,34573,65,135,65,127,155,5,5,160,5,5,165,5,5
96,3,2,504,122,36,32,36772,64,120,64,134,141,5,3,154,5,4,145,5,3
97,3,2,506,134,60,65,59411,66,140,67,135,170,5,7,192,5,7,190,5,7
98,3,2,503,125,72,71,69552,64,135,64,150,160,5,4,170,5,4,168,5,4
99,3,2,-5,-5,-4,-4,-5,64,135,64,140,185,5,5,185,5,5,198,5,5
100,3,2,504,120,35,29,40421,65,125,66,127,110,5,5,133,5,4,130,5,5
101,3,1,506,162,74,93,87368,65,155,66,175,-5,-5,-5,-5,-5,-5,150,5,6
102,3,2,501,145,40,50,56649,62,135,62,140,132,5,1,135,5,1,143,5,1
103,3,1,511,175,65,84,76421,71,185,71,190,245,5,11,230,5,11,260,5,11
104,3,2,509,170,41,50,48175,69,200,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
105,3,2,507,142,93,85,81787,66,150,67,155,170,5,7,174,5,7,170,5,-4
106,3,1,510,172,98,94,87651,69,175,68,185,195,5,9,195,5,9,190,5,9
107,3,1,509,140,67,58,65347,70,140,70,154,218,5,10,218,5,9,218,5,9
108,3,1,508,152,99,93,96818,68,145,68,150,155,5,8,165,5,8,170,5,8
109,3,2,507,125,46,50,57445,67,128,67,135,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,3,1,600,165,75,75,64697,72,165,72,160,185,5,11,190,5,11,195,6,0
111,3,2,500,109,33,42,46195,60,145,60,132,185,5,2,180,5,2,180,5,2
112,3,2,508,120,28,32,39529,67,130,68,130,165,5,8,170,5,8,180,5,8
113,3,1,510,155,63,59,64537,69,165,70,180,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,3,1,510,187,76,73,75984,70,190,70,190,-5,-5,-5,-5,-5,-5,-5,-5,-5
115,3,2,506,130,59,80,85492,66,140,66,130,-5,-5,-5,-5,-5,-5,-5,-5,-5
116,3,2,507,140,50,55,62654,66,140,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
117,3,1,511,175,92,97,98349,71,175,71,195,240,5,11,245,5,11,250,6,0
118,3,2,508,138,31,30,29212,69,155,69,138,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,3,1,510,155,27,35,27671,70,155,71,155,178,5,10,170,5,10,165,5,10
120,3,1,600,240,98,97,97847,72,225,72,220,250,6,0,270,6,0,275,6,0
121,3,2,505,148,81,84,92618,65,145,65,156,150,5,5,150,5,5,185,5,5
122,3,1,600,225,63,56,52132,73,220,73,270,225,6,1,250,6,1,240,6,1
123,3,1,510,124,90,89,92204,70,130,71,140,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,3,2,501,105,29,36,40114,61,101,61,110,120,5,1,120,5,2,125,5,2
125,3,1,511,165,25,33,32107,70,175,71,173,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,3,1,600,160,72,71,67259,72,170,72,180,175,6,0,180,6,0,180,6,0
127,3,1,509,125,34,39,36287,66,120,69,125,-5,-5,-5,-5,-5,-5,-5,-5,-5
128,3,2,501,102,89,71,59846,61,103,61,107,120,5,0,-2,5,0,126,5,0
129,3,1,510,160,73,92,92817,70,160,70,160,200,5,11,200,5,11,200,5,10
130,3,2,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,3,2,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,2,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
133,3,2,504,-2,49,44,57983,63,216,63,280,234,5,2,209,5,2,-5,-5,-5
134,3,1,509,163,46,50,47098,68,175,69,165,-5,-5,-5,-5,-5,-5,190,5,8
135,3,1,507,170,32,29,38315,67,170,67,175,-5,-5,-5,200,5,7,210,5,7
136,3,2,-5,-5,13,10,5875,60,130,60,110,182,5,1,175,5,0,-2,5,1
137,3,2,506,132,89,87,87283,66,130,66,120,141,5,6,138,5,6,135,5,6
138,3,2,503,120,79,80,88326,63,120,63,120,125,5,3,128,5,3,128,5,3
139,3,1,507,145,69,64,79832,67,150,68,170,180,5,9,170,5,8,190,5,9
140,3,2,510,147,65,74,72878,70,160,70,160,140,5,10,165,5,9,180,6,0
141,3,2,504,120,71,81,85861,64,118,64,130,130,5,4,-5,-5,-5,140,5,4
142,3,1,511,195,-4,-4,-4,70,190,70,200,-5,-5,-5,-5,-5,-5,225,5,10
143,3,2,503,125,66,63,59838,64,122,64,112,185,5,3,185,5,4,180,5,4
144,3,2,504,165,28,29,37874,64,150,64,150,183,5,7,-5,-5,-5,186,5,5
145,3,1,509,135,51,52,62607,70,140,69,140,155,5,10,160,5,10,160,5,10
146,3,1,506,136,74,84,86932,68,145,68,165,195,5,8,180,5,8,180,5,8
147,3,2,501,118,32,25,22466,61,118,61,122,128,5,1,130,5,2,130,5,2
148,3,1,600,200,64,65,74997,71,200,71,231,235,5,10,224,5,11,230,5,11
149,3,2,505,117,30,29,39973,66,121,65,130,185,5,6,192,5,6,205,5,6
150,3,1,506,115,42,41,38129,66,120,66,110,120,5,6,140,5,6,138,5,6
151,3,2,504,124,34,33,28478,64,119,64,125,-5,-5,-5,-5,-5,-5,-5,-5,-5
152,3,2,504,125,94,92,93332,64,125,64,120,138,5,4,140,5,4,143,5,4
153,3,2,-5,-5,-4,-4,-5,-5,-5,62,120,152,5,1,180,5,2,180,5,2
154,3,2,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,3,1,511,165,34,35,47003,70,165,69,165,-5,-5,-5,-5,-5,-5,185,5,11
156,3,1,507,155,7,6,4975,68,155,68,170,187,5,8,190,5,8,190,5,8
157,3,2,503,125,47,47,43873,63,122,63,150,-5,-5,-5,130,5,3,135,5,3
158,3,2,501,135,86,85,85206,61,122,61,144,165,5,3,155,5,3,-5,-5,-5
159,3,2,501,103,95,93,89686,60,103,60,107,-5,-5,-5,-5,-5,-5,-5,-5,-5
160,3,2,506,140,85,80,77440,67,150,67,170,190,5,7,185,5,7,195,5,8
161,3,2,507,245,29,31,47296,68,256,68,257,297,5,8,280,5,9,310,5,9
162,3,1,510,147,92,98,98253,69,140,71,150,195,5,11,-5,-5,-5,-5,-5,-5
163,3,1,600,190,63,77,86427,72,185,72,190,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,3,2,501,100,20,21,22240,62,99,62,103,-5,-5,-5,-5,-5,-5,-5,-5,-5
165,3,2,506,125,50,43,46506,66,118,66,115,110,5,6,115,5,6,115,5,6
166,3,1,510,215,64,57,58432,70,210,70,220,225,5,10,215,5,9,-5,-5,-5
167,3,2,504,135,30,28,33598,64,130,64,174,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,2,1,511,165,16,21,19981,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,190,6,0
169,2,2,-5,-5,17,17,18862,-5,-5,62,115,-5,-5,-5,-5,-5,-5,157,5,3
170,3,2,-5,-5,-4,-4,-5,66,154,66,172,-5,-5,-5,-5,-5,-5,-5,-5,-5
171,3,1,510,155,85,80,82207,70,160,69,170,195,5,9,190,5,9,178,5,9
172,3,2,503,-2,1,1,1230,62,300,62,190,260,5,2,280,5,2,249,5,2
173,3,1,-5,-5,60,56,71044,-5,-5,73,154,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,2,501,110,48,57,47279,61,100,65,116,170,5,0,178,5,0,173,5,0
175,3,2,506,140,-4,-4,-4,65,168,65,130,-5,-5,-5,145,5,6,123,5,6
176,3,2,504,140,89,85,82495,64,125,64,140,-5,-5,-5,-5,-5,-5,-5,-5,-5
177,3,1,600,150,49,48,51881,72,150,71,155,-5,-5,-5,-5,-5,-5,182,6,0
178,3,1,511,165,91,82,77068,72,168,72,158,190,5,11,195,6,0,200,6,0
