"C0000100","C0000200","C0005300","C0005400","C0005700","C0579900","C0580000","C0580100","C0799400","C0799500","C0799600","C0998600","C0998700","C0998800","C1198600","C1198700","C1198800","C1507600","C1507700","C1507800","C1564500","C1564600","C1564700","C1799900","C1800000","C1800100","C2503500","C2503600","C2503700","C2532000","C2532100","C2532200","C2802800","C2802900","C2803000","C3111300","C3111400","C3111500","C3615000","C3615100","C3615200","C3993600","C3993700","C3993800"
201,2,3,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,26,90,24,49,100,38,38,95,55,77,111,-3,-3,-3,-7,-7,-7,-7,-7,-7
202,2,3,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,57,103,27,54,102,47,75,110,-3,-3,-3,-3,-3,-3,-7,-7,-7
301,3,3,2,1981,-7,-7,-7,27,67,107,-3,-3,-3,49,60,104,57,56,102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
302,3,3,2,1983,-7,-7,-7,-7,-7,-7,-3,-3,-3,38,51,100,40,18,86,40,9,80,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
303,3,3,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,46,98,21,16,85,26,6,77,33,4,74,40,4,74,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
401,4,3,1,1980,-7,-7,-7,35,62,105,42,41,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
403,4,3,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
801,8,3,2,1976,48,71,108,52,55,102,59,51,100,55,32,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
802,8,3,1,1979,41,95,125,37,35,94,56,79,112,56,54,102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
803,8,3,2,1982,-7,-7,-7,16,69,107,39,73,109,44,56,102,55,69,107,52,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
