"Subject1Tag","Subject2Tag","RelationshipPath","Subject1ID","Subject2ID","ExtendedID","R","RFull","MathStandardized_1","HeightZGenderAge_1","MathStandardized_2","HeightZGenderAge_2"
300,400,"Gen1Housemates",300,400,3,0.5,0.5,NA,2.09225583329225,NA,1.05720995934465
500,600,"Gen1Housemates",500,600,5,0.5,0.5,NA,-2.24066378952485,NA,-1.6036684291118
1300,1400,"Gen1Housemates",1300,1400,13,0.5,0.5,NA,0.323840164846357,NA,1.09145682724876
1700,1800,"Gen1Housemates",1700,1800,17,0.5,0.5,NA,-0.146282180901636,NA,-0.819796270496091
2000,2100,"Gen1Housemates",2000,2100,20,0.5,0.5,NA,-1.16577202137841,NA,-0.789157345095425
2300,2400,"Gen1Housemates",2300,2400,23,NA,NA,NA,1.01025520132181,NA,0.373169710752446
2700,2800,"Gen1Housemates",2700,2800,27,0.5,0.5,NA,-0.459323902242004,NA,0.323355857737168
2900,3000,"Gen1Housemates",2900,3000,29,0.5,0.5,NA,0.728827190476543,NA,-0.0428135615335787
3200,3300,"Gen1Housemates",3200,3300,32,0.5,0.5,NA,-1.22220663065368,NA,NA
3400,3500,"Gen1Housemates",3400,3500,34,0.5,0.5,NA,-0.362574871629093,NA,-0.444745111774424
3700,3800,"Gen1Housemates",3700,3800,37,0.5,0.5,NA,1.02217378161421,NA,-0.312590764678253
4000,4100,"Gen1Housemates",4000,4100,40,0.5,0.5,NA,-1.27364873545096,NA,0.991752640265219
5000,5100,"Gen1Housemates",5000,5100,50,NA,NA,NA,-0.0428135615335787,NA,NA
5500,5600,"Gen1Housemates",5500,5600,55,NA,NA,NA,NA,NA,0.323355857737168
5800,5900,"Gen1Housemates",5800,5900,58,NA,0.375,NA,-0.908391199048348,NA,-0.306633681377065
5800,6000,"Gen1Housemates",5800,6000,58,0.5,0.5,NA,-0.908391199048348,NA,NA
5900,6000,"Gen1Housemates",5900,6000,58,0.5,0.5,NA,-0.306633681377065,NA,NA
6100,6200,"Gen1Housemates",6100,6200,61,0.5,0.5,NA,0.372309597333201,NA,2.01242392756369
6300,6400,"Gen1Housemates",6300,6400,63,0.5,0.5,NA,0.660381372696829,NA,0.673385978349397
6300,6500,"Gen1Housemates",6300,6500,63,0.5,0.5,NA,0.660381372696829,NA,0.323355857737168
6400,6500,"Gen1Housemates",6400,6500,63,0.5,0.5,NA,0.673385978349397,NA,0.323355857737168
6700,6800,"Gen1Housemates",6700,6800,67,0.5,0.5,NA,0.874536244042733,NA,1.72895924901178
7000,7100,"Gen1Housemates",7000,7100,70,NA,NA,NA,0.0436966874417389,NA,0.0911142216221265
7400,7500,"Gen1Housemates",7400,7500,74,0.5,0.5,NA,0.600348276462599,NA,0.275772911889888
7400,7600,"Gen1Housemates",7400,7600,74,0.5,0.5,NA,0.600348276462599,NA,1.03350680387285
7500,7600,"Gen1Housemates",7500,7600,74,0.5,0.5,NA,0.275772911889888,NA,1.03350680387285
7800,7900,"Gen1Housemates",7800,7900,78,0.5,0.5,NA,-0.114590632907477,NA,0.660381372696829
8000,8100,"Gen1Housemates",8000,8100,80,0.5,0.5,NA,-0.531631675725619,NA,-0.0932838128428645
8300,8400,"Gen1Housemates",8300,8400,83,0.5,0.5,NA,0.373169710752446,NA,-0.843004624399492
8500,8600,"Gen1Housemates",8500,8600,85,0.5,0.5,NA,-1.39219742634227,NA,-1.54814961288141
8500,8700,"Gen1Housemates",8500,8700,85,0.5,0.5,NA,-1.39219742634227,NA,-0.531631675725619
8600,8700,"Gen1Housemates",8600,8700,85,0.5,0.5,NA,-1.54814961288141,NA,-0.531631675725619
9000,9100,"Gen1Housemates",9000,9100,90,0.5,0.5,NA,0.323840164846357,NA,1.09145682724876
9400,9500,"Gen1Housemates",9400,9500,94,0.5,0.5,NA,-0.799449128183351,NA,0.349331056583551
10100,10200,"Gen1Housemates",10100,10200,101,0.5,0.5,NA,-1.73540494457999,NA,-0.721013978205426
10700,10800,"Gen1Housemates",10700,10800,107,0.5,0.5,NA,0.0366526545177535,NA,-0.705782389866818
11000,11100,"Gen1Housemates",11000,11100,110,0.5,0.5,NA,0.50688476638008,NA,-1.46279668573063
11000,11200,"Gen1Housemates",11000,11200,110,0.5,0.5,NA,0.50688476638008,NA,1.09145682724876
11100,11200,"Gen1Housemates",11100,11200,110,0.5,0.5,NA,-1.46279668573063,NA,1.09145682724876
11300,11400,"Gen1Housemates",11300,11400,113,NA,NA,NA,-0.220258727051746,NA,-0.146282180901636
11500,11600,"Gen1Housemates",11500,11600,115,0.5,0.5,NA,0.728827190476543,NA,0.707406342492964
11500,11700,"Gen1Housemates",11500,11700,115,0.5,0.5,NA,0.728827190476543,NA,0.338043021338865
11600,11700,"Gen1Housemates",11600,11700,115,0.5,0.5,NA,0.707406342492964,NA,0.338043021338865
11800,11900,"Gen1Housemates",11800,11900,118,0.5,0.5,NA,1.72895924901178,NA,-0.146282180901636
12000,12100,"Gen1Housemates",12000,12100,120,0.5,0.5,NA,0.673385978349397,NA,0.304025236457991
12400,12500,"Gen1Housemates",12400,12500,124,0.5,0.5,NA,-1.16865347898842,NA,-0.146282180901636
12400,12600,"Gen1Housemates",12400,12600,124,0.5,0.5,NA,-1.16865347898842,NA,0.667047683084082
12500,12600,"Gen1Housemates",12500,12600,124,0.5,0.5,NA,-0.146282180901636,NA,0.667047683084082
13400,13500,"Gen1Housemates",13400,13500,134,NA,NA,NA,-0.615249359179675,NA,-0.681188772852539
13700,13800,"Gen1Housemates",13700,13800,137,0.5,0.5,NA,0.639069496170361,NA,-0.312590764678253
13700,13900,"Gen1Housemates",13700,13900,137,0.5,0.5,NA,0.639069496170361,NA,-0.84515171772324
13800,13900,"Gen1Housemates",13800,13900,137,0.5,0.5,NA,-0.312590764678253,NA,-0.84515171772324
14200,14300,"Gen1Housemates",14200,14300,142,0.5,0.5,NA,0.0157046699809,NA,-0.0301650773094408
14200,14400,"Gen1Housemates",14200,14400,142,0.5,0.5,NA,0.0157046699809,NA,-0.037654501763148
14300,14400,"Gen1Housemates",14300,14400,142,0.5,0.5,NA,-0.0301650773094408,NA,-0.037654501763148
14500,14600,"Gen1Housemates",14500,14600,145,0.5,0.5,NA,0.0911142216221265,NA,-0.532041964123892
14800,14900,"Gen1Housemates",14800,14900,148,0.5,0.5,NA,0.402487170295999,NA,0.707406342492964
15100,15200,"Gen1Housemates",15100,15200,151,0.5,0.5,NA,-0.13169163695604,NA,-0.087523672390585
15300,15400,"Gen1Housemates",15300,15400,153,0.5,0.5,NA,NA,NA,NA
15700,15800,"Gen1Housemates",15700,15800,157,0.5,0.5,NA,-0.450820256671058,NA,-1.10780090468137
15700,15900,"Gen1Housemates",15700,15900,157,0.5,0.5,NA,-0.450820256671058,NA,-1.51899608094661
15800,15900,"Gen1Housemates",15800,15900,157,0.5,0.5,NA,-1.10780090468137,NA,-1.51899608094661
16000,16100,"Gen1Housemates",16000,16100,160,0.5,0.5,NA,0.9535723360308,NA,1.48781945826253
16200,16300,"Gen1Housemates",16200,16300,162,0.5,0.5,NA,-0.285776335868968,NA,0.673385978349397
16500,16600,"Gen1Housemates",16500,16600,165,0.5,0.5,NA,0.728827190476543,NA,0.0366526545177535
16800,16900,"Gen1Housemates",16800,16900,168,NA,NA,NA,NA,NA,NA
17500,17600,"Gen1Housemates",17500,17600,175,NA,NA,NA,0.231813360943174,NA,-0.106099842673803
17500,17700,"Gen1Housemates",17500,17700,175,NA,NA,NA,0.231813360943174,NA,0.702642734063153
17600,17700,"Gen1Housemates",17600,17700,175,NA,NA,NA,-0.106099842673803,NA,0.702642734063153
18100,18200,"Gen1Housemates",18100,18200,181,NA,NA,NA,NA,NA,NA
18300,18400,"Gen1Housemates",18300,18400,183,0.5,0.5,NA,-0.752805123632105,NA,0.728827190476543
18300,18500,"Gen1Housemates",18300,18500,183,0.5,0.5,NA,-0.752805123632105,NA,0.788573627171648
18400,18500,"Gen1Housemates",18400,18500,183,0.5,0.5,NA,0.728827190476543,NA,0.788573627171648
18600,18700,"Gen1Housemates",18600,18700,186,0.5,0.5,NA,0.312182219515684,NA,1.03350680387285
19000,19100,"Gen1Housemates",19000,19100,190,0.5,0.5,NA,-0.450820256671058,NA,-0.84515171772324
19300,19400,"Gen1Housemates",19300,19400,193,0.5,0.5,NA,-0.819796270496091,NA,0.407287296674152
20600,20700,"Gen1Housemates",20600,20700,206,0.5,0.5,NA,-0.843004624399492,NA,-0.218932210524544
21000,21100,"Gen1Housemates",21000,21100,210,0.5,0.5,NA,0.402487170295999,NA,-0.444745111774424
21200,21300,"Gen1Housemates",21200,21300,212,0.5,0.5,NA,1.36158878068457,NA,0.713860118969872
21200,21400,"Gen1Housemates",21200,21400,212,0.5,0.5,NA,1.36158878068457,NA,0.49462114716681
21300,21400,"Gen1Housemates",21300,21400,212,0.5,0.5,NA,0.713860118969872,NA,0.49462114716681
21600,21700,"Gen1Housemates",21600,21700,216,NA,NA,NA,NA,NA,NA
21900,22000,"Gen1Housemates",21900,22000,219,0.5,0.5,NA,-0.106099842673803,NA,1.10832332436954
22100,22200,"Gen1Housemates",22100,22200,221,0.5,0.5,NA,-1.06269371642656,NA,-1.87354731697718
22200,22300,"Gen1Housemates",22200,22300,221,0.5,0.5,NA,-1.87354731697718,NA,-2.71124231644273
22100,22300,"Gen1Housemates",22100,22300,221,0.5,0.5,NA,-1.06269371642656,NA,-2.71124231644273
22300,22400,"Gen1Housemates",22300,22400,221,0.5,0.5,NA,-2.71124231644273,NA,-0.459323902242004
22200,22400,"Gen1Housemates",22200,22400,221,0.5,0.5,NA,-1.87354731697718,NA,-0.459323902242004
22100,22400,"Gen1Housemates",22100,22400,221,NA,0.375,NA,-1.06269371642656,NA,-0.459323902242004
22500,22600,"Gen1Housemates",22500,22600,225,NA,NA,NA,-2.26261447573321,NA,-0.843004624399492
23100,23200,"Gen1Housemates",23100,23200,231,0.5,0.5,NA,-0.85870163275447,NA,-0.281714007398068
23100,23300,"Gen1Housemates",23100,23300,231,0.5,0.5,NA,-0.85870163275447,NA,-0.532041964123892
23200,23300,"Gen1Housemates",23200,23300,231,0.5,0.5,NA,-0.281714007398068,NA,-0.532041964123892
23800,23900,"Gen1Housemates",23800,23900,238,0.5,0.5,NA,NA,NA,-0.789157345095425
23800,24000,"Gen1Housemates",23800,24000,238,0.5,0.5,NA,NA,NA,0.029859416327474
23900,24000,"Gen1Housemates",23900,24000,238,0.5,0.5,NA,-0.789157345095425,NA,0.029859416327474
24000,24100,"Gen1Housemates",24000,24100,238,0.5,0.5,NA,0.029859416327474,NA,-1.15826147132259
23800,24100,"Gen1Housemates",23800,24100,238,0.5,0.5,NA,NA,NA,-1.15826147132259
23900,24100,"Gen1Housemates",23900,24100,238,0.5,0.5,NA,-0.789157345095425,NA,-1.15826147132259
24200,24300,"Gen1Housemates",24200,24300,242,NA,0,NA,0.667178000564948,NA,0.535669741134968
24500,24600,"Gen1Housemates",24500,24600,245,0.5,0.5,NA,0.029859416327474,NA,0.7203970502735
24700,24800,"Gen1Housemates",24700,24800,247,0.5,0.5,NA,-0.0193673533913682,NA,0.702642734063153
24700,24900,"Gen1Housemates",24700,24900,247,0.5,0.5,NA,-0.0193673533913682,NA,0.372309597333201
24800,24900,"Gen1Housemates",24800,24900,247,0.5,0.5,NA,0.702642734063153,NA,0.372309597333201
25100,25200,"Gen1Housemates",25100,25200,251,0.5,0.5,NA,-0.843004624399492,NA,NA
25400,25500,"Gen1Housemates",25400,25500,254,0.5,0.5,NA,0.349331056583551,NA,-1.177413425232
25600,25700,"Gen1Housemates",25600,25700,256,0.5,0.5,NA,-0.087523672390585,NA,-0.218932210524544
25800,25900,"Gen1Housemates",25800,25900,258,NA,0,NA,0.595318358842389,NA,2.03987775603498
26000,26100,"Gen1Housemates",26000,26100,260,0.5,0.5,NA,-0.615249359179675,NA,0.402487170295999
26200,26300,"Gen1Housemates",26200,26300,262,NA,NA,NA,0.247124216894398,NA,-0.281714007398068
27000,27100,"Gen1Housemates",27000,27100,270,NA,NA,NA,-0.60008066931389,NA,-0.444745111774424
27200,27300,"Gen1Housemates",27200,27300,272,0.5,0.5,NA,0.679209933233394,NA,0.667047683084082
27400,27500,"Gen1Housemates",27400,27500,274,0.5,0.5,NA,2.02053482730598,NA,0.372309597333201
28100,28200,"Gen1Housemates",28100,28200,281,0.5,0.5,NA,1.62848596409686,NA,-0.0606946270186281
28300,28400,"Gen1Housemates",28300,28400,283,0.5,0.5,NA,-0.480929767588327,NA,-1.59598708680892
28300,28500,"Gen1Housemates",28300,28500,283,0.5,0.5,NA,-0.480929767588327,NA,-1.16865347898842
28400,28500,"Gen1Housemates",28400,28500,283,0.5,0.5,NA,-1.59598708680892,NA,-1.16865347898842
28700,28800,"Gen1Housemates",28700,28800,287,0.5,0.5,NA,1.73216534371274,NA,0.639069496170361
28700,28900,"Gen1Housemates",28700,28900,287,0.5,0.5,NA,1.73216534371274,NA,1.05720995934465
28800,28900,"Gen1Housemates",28800,28900,287,0.5,0.5,NA,0.639069496170361,NA,1.05720995934465
29200,29300,"Gen1Housemates",29200,29300,292,0.5,0.5,NA,0.282309650162959,NA,-0.0428135615335787
29800,29900,"Gen1Housemates",29800,29900,298,0.5,0.5,NA,-1.59689656604181,NA,-1.15437757307336
30000,30100,"Gen1Housemates",30000,30100,300,0.125,0.125,NA,-0.615249359179675,NA,-0.944722382490382
30000,30200,"Gen1Housemates",30000,30200,300,0.125,0.125,NA,-0.615249359179675,NA,-2.56300214088282
30100,30200,"Gen1Housemates",30100,30200,300,0.5,0.5,NA,-0.944722382490382,NA,-2.56300214088282
30000,30300,"Gen1Housemates",30000,30300,300,0.125,0.125,NA,-0.615249359179675,NA,-1.77712347042111
30200,30300,"Gen1Housemates",30200,30300,300,0.5,0.5,NA,-2.56300214088282,NA,-1.77712347042111
30100,30300,"Gen1Housemates",30100,30300,300,0.5,0.5,NA,-0.944722382490382,NA,-1.77712347042111
30100,30400,"Gen1Housemates",30100,30400,300,0.5,0.5,NA,-0.944722382490382,NA,1.08252610717649
30000,30400,"Gen1Housemates",30000,30400,300,0.125,0.125,NA,-0.615249359179675,NA,1.08252610717649
30200,30400,"Gen1Housemates",30200,30400,300,0.5,0.5,NA,-2.56300214088282,NA,1.08252610717649
30300,30400,"Gen1Housemates",30300,30400,300,0.5,0.5,NA,-1.77712347042111,NA,1.08252610717649
30700,30800,"Gen1Housemates",30700,30800,307,0.5,0.5,NA,-0.85870163275447,NA,-0.615249359179675
30900,31000,"Gen1Housemates",30900,31000,309,0.5,0.5,NA,-0.0193673533913682,NA,-0.615249359179675
30900,31100,"Gen1Housemates",30900,31100,309,0.5,0.5,NA,-0.0193673533913682,NA,0.49462114716681
31000,31100,"Gen1Housemates",31000,31100,309,0.5,0.5,NA,-0.615249359179675,NA,0.49462114716681
31200,31300,"Gen1Housemates",31200,31300,312,0.5,0.5,NA,0.639069496170361,NA,-1.47137122492194
31900,32000,"Gen1Housemates",31900,32000,319,0.5,0.5,NA,-0.114590632907477,NA,-0.306633681377065
32100,32200,"Gen1Housemates",32100,32200,321,0.5,0.5,NA,0.595318358842389,NA,-0.13169163695604
32300,32400,"Gen1Housemates",32300,32400,323,0.5,0.5,NA,0.338043021338865,NA,-0.918447331229712
32300,32500,"Gen1Housemates",32300,32500,323,0.5,0.5,NA,0.338043021338865,NA,0.0941775430748039
32400,32500,"Gen1Housemates",32400,32500,323,0.5,0.5,NA,-0.918447331229712,NA,0.0941775430748039
32800,32900,"Gen1Housemates",32800,32900,328,NA,NA,NA,NA,NA,-2.41070048571998
33000,33100,"Gen1Housemates",33000,33100,330,0.25,0.25,NA,NA,NA,-1.87354731697718
33000,33200,"Gen1Housemates",33000,33200,330,0.25,0.25,NA,NA,NA,NA
33100,33200,"Gen1Housemates",33100,33200,330,0.25,0.25,NA,-1.87354731697718,NA,NA
33400,33500,"Gen1Housemates",33400,33500,334,NA,0,NA,1.69667023779726,NA,-0.114590632907477
33800,33900,"Gen1Housemates",33800,33900,338,0.5,0.5,NA,-0.459323902242004,NA,-1.16865347898842
33800,34000,"Gen1Housemates",33800,34000,338,0.5,0.5,NA,-0.459323902242004,NA,-0.312590764678253
33900,34000,"Gen1Housemates",33900,34000,338,0.5,0.5,NA,-1.16865347898842,NA,-0.312590764678253
34100,34200,"Gen1Housemates",34100,34200,341,0.5,0.5,NA,0.312182219515684,NA,0.0911142216221265
34800,34900,"Gen1Housemates",34800,34900,348,0.5,0.5,NA,-0.799449128183351,NA,-1.39219742634227
34800,35000,"Gen1Housemates",34800,35000,348,0.5,0.5,NA,-0.799449128183351,NA,-0.281714007398068
34900,35000,"Gen1Housemates",34900,35000,348,0.5,0.5,NA,-1.39219742634227,NA,-0.281714007398068
35100,35200,"Gen1Housemates",35100,35200,351,0.5,0.5,NA,0.982719724054794,NA,-0.087523672390585
35300,35400,"Gen1Housemates",35300,35400,353,0.5,0.5,NA,-1.39219742634227,NA,-0.114590632907477
35300,35500,"Gen1Housemates",35300,35500,353,0.5,0.5,NA,-1.39219742634227,NA,-2.09759073212063
35400,35500,"Gen1Housemates",35400,35500,353,0.5,0.5,NA,-0.114590632907477,NA,-2.09759073212063
35700,35800,"Gen1Housemates",35700,35800,357,0.5,0.5,NA,-0.819796270496091,NA,0.673385978349397
35700,35900,"Gen1Housemates",35700,35900,357,0.5,0.5,NA,-0.819796270496091,NA,-0.655040945683979
35800,35900,"Gen1Housemates",35800,35900,357,0.5,0.5,NA,0.673385978349397,NA,-0.655040945683979
36200,36300,"Gen1Housemates",36200,36300,362,0.5,0.5,NA,0.180301292739222,NA,0.349331056583551
36400,36500,"Gen1Housemates",36400,36500,364,0.5,0.5,NA,1.30505807541276,NA,1.00236608045083
36400,36600,"Gen1Housemates",36400,36600,364,0.5,0.5,NA,1.30505807541276,NA,1.02523306764375
36500,36600,"Gen1Housemates",36500,36600,364,0.5,0.5,NA,1.00236608045083,NA,1.02523306764375
36900,37000,"Gen1Housemates",36900,37000,369,0.5,0.5,NA,0.312182219515684,NA,0.9535723360308
37100,37200,"Gen1Housemates",37100,37200,371,0.5,0.5,NA,1.306796395599,NA,0.673385978349397
37300,37400,"Gen1Housemates",37300,37400,373,0.5,0.5,NA,-1.46279668573063,NA,-0.789157345095425
37300,37500,"Gen1Housemates",37300,37500,373,0.5,0.5,NA,-1.46279668573063,NA,-1.91832543816689
37400,37500,"Gen1Housemates",37400,37500,373,0.5,0.5,NA,-0.789157345095425,NA,-1.91832543816689
37700,37800,"Gen1Housemates",37700,37800,377,0.5,0.5,NA,-1.39219742634227,NA,-0.944722382490382
37700,37900,"Gen1Housemates",37700,37900,377,0.5,0.5,NA,-1.39219742634227,NA,-0.82879559653022
37800,37900,"Gen1Housemates",37800,37900,377,0.5,0.5,NA,-0.944722382490382,NA,-0.82879559653022
38200,38300,"Gen1Housemates",38200,38300,382,0.5,0.5,NA,-1.46279668573063,NA,-0.615249359179675
38200,38400,"Gen1Housemates",38200,38400,382,0.5,0.5,NA,-1.46279668573063,NA,-0.220258727051746
38300,38400,"Gen1Housemates",38300,38400,382,0.5,0.5,NA,-0.615249359179675,NA,-0.220258727051746
38500,38600,"Gen1Housemates",38500,38600,385,0.5,0.5,NA,-0.789157345095425,NA,0.275772911889888
38500,38700,"Gen1Housemates",38500,38700,385,0.5,0.5,NA,-0.789157345095425,NA,1.33660601631762
38600,38700,"Gen1Housemates",38600,38700,385,0.5,0.5,NA,0.275772911889888,NA,1.33660601631762
39000,39100,"Gen1Housemates",39000,39100,390,0.5,0.5,NA,-0.450820256671058,NA,0.707406342492964
39200,39300,"Gen1Housemates",39200,39300,392,0.5,0.5,NA,0.660381372696829,NA,0.713860118969872
39900,40000,"Gen1Housemates",39900,40000,399,0.5,0.5,NA,NA,NA,0.349331056583551
40100,40200,"Gen1Housemates",40100,40200,401,NA,NA,NA,-1.9276457467744,NA,0.595318358842389
40400,40500,"Gen1Housemates",40400,40500,404,0.5,0.5,NA,-0.480929767588327,NA,-1.51899608094661
40400,40600,"Gen1Housemates",40400,40600,404,0.5,0.5,NA,-0.480929767588327,NA,-1.15826147132259
40500,40600,"Gen1Housemates",40500,40600,404,0.5,0.5,NA,-1.51899608094661,NA,-1.15826147132259
41100,41200,"Gen1Housemates",41100,41200,411,0.5,0.5,NA,0.713860118969872,NA,0.788573627171648
41600,41700,"Gen1Housemates",41600,41700,416,0.5,0.5,NA,0.679209933233394,NA,0.660381372696829
41900,42000,"Gen1Housemates",41900,42000,419,0.5,0.5,NA,-0.843004624399492,NA,-1.85699869287189
42100,42200,"Gen1Housemates",42100,42200,421,0.5,0.5,NA,-0.146282180901636,NA,-1.04898990810454
42100,42300,"Gen1Housemates",42100,42300,421,0.5,0.5,NA,-0.146282180901636,NA,-1.16865347898842
42200,42300,"Gen1Housemates",42200,42300,421,0.5,0.5,NA,-1.04898990810454,NA,-1.16865347898842
42400,42500,"Gen1Housemates",42400,42500,424,NA,0,NA,0.180301292739222,NA,-0.13169163695604
42900,43000,"Gen1Housemates",42900,43000,429,0.5,0.5,NA,-0.705782389866818,NA,-0.918447331229712
42900,43100,"Gen1Housemates",42900,43100,429,0.5,0.5,NA,-0.705782389866818,NA,-0.459323902242004
43000,43100,"Gen1Housemates",43000,43100,429,0.5,0.5,NA,-0.918447331229712,NA,-0.459323902242004
43200,43300,"Gen1Housemates",43200,43300,432,0.5,0.5,NA,-0.362574871629093,NA,0.702642734063153
44400,44500,"Gen1Housemates",44400,44500,444,0.5,0.5,NA,1.00236608045083,NA,1.08252610717649
44700,44800,"Gen1Housemates",44700,44800,447,0.5,0.5,NA,0.355019316433575,NA,-0.532041964123892
44900,45000,"Gen1Housemates",44900,45000,449,0.5,0.5,NA,-0.812547961810205,NA,-0.60008066931389
44900,45100,"Gen1Housemates",44900,45100,449,0.5,0.5,NA,-0.812547961810205,NA,-0.681188772852539
45000,45100,"Gen1Housemates",45000,45100,449,0.5,0.5,NA,-0.60008066931389,NA,-0.681188772852539
45400,45500,"Gen1Housemates",45400,45500,454,0.5,0.5,NA,1.00236608045083,NA,-0.0428135615335787
45600,45700,"Gen1Housemates",45600,45700,456,0.5,0.5,NA,-0.705782389866818,NA,-0.628972032735029
46600,46700,"Gen1Housemates",46600,46700,466,0.5,0.5,NA,-0.142063264680562,NA,-1.16865347898842
47200,47300,"Gen1Housemates",47200,47300,472,0.5,0.5,NA,0.639069496170361,NA,NA
47200,47400,"Gen1Housemates",47200,47400,472,0.5,0.5,NA,0.639069496170361,NA,0.349331056583551
47300,47400,"Gen1Housemates",47300,47400,472,0.5,0.5,NA,NA,NA,0.349331056583551
47300,47500,"Gen1Housemates",47300,47500,472,0.5,0.5,NA,NA,NA,-0.82879559653022
47200,47500,"Gen1Housemates",47200,47500,472,0.5,0.5,NA,0.639069496170361,NA,-0.82879559653022
47400,47500,"Gen1Housemates",47400,47500,472,0.5,0.5,NA,0.349331056583551,NA,-0.82879559653022
47700,47800,"Gen1Housemates",47700,47800,477,0.125,0.125,NA,0.0941775430748039,NA,-0.459323902242004
48100,48200,"Gen1Housemates",48100,48200,481,0.5,0.5,NA,1.2134027469505,NA,1.35346271955953
48300,48400,"Gen1Housemates",48300,48400,483,0.5,0.5,NA,-0.799449128183351,NA,-0.285776335868968
48500,48600,"Gen1Housemates",48500,48600,485,0.5,0.5,NA,-0.450820256671058,NA,-0.532041964123892
48700,48800,"Gen1Housemates",48700,48800,487,0.5,0.5,NA,0.9535723360308,NA,0.7203970502735
49000,49100,"Gen1Housemates",49000,49100,490,0.5,0.5,NA,-0.819796270496091,NA,-0.0428135615335787
49000,49200,"Gen1Housemates",49000,49200,490,0.5,0.5,NA,-0.819796270496091,NA,-0.409661211202433
49100,49200,"Gen1Housemates",49100,49200,490,0.5,0.5,NA,-0.0428135615335787,NA,-0.409661211202433
49100,49300,"Gen1Housemates",49100,49300,490,0.5,0.5,NA,-0.0428135615335787,NA,1.03350680387285
49000,49300,"Gen1Housemates",49000,49300,490,0.5,0.5,NA,-0.819796270496091,NA,1.03350680387285
49200,49300,"Gen1Housemates",49200,49300,490,0.5,0.5,NA,-0.409661211202433,NA,1.03350680387285
49400,49500,"Gen1Housemates",49400,49500,494,0.5,0.5,NA,2.087161124762,NA,0.9535723360308
49400,49600,"Gen1Housemates",49400,49600,494,0.5,0.5,NA,2.087161124762,NA,1.39966014035038
49500,49600,"Gen1Housemates",49500,49600,494,0.5,0.5,NA,0.9535723360308,NA,1.39966014035038
49800,49900,"Gen1Housemates",49800,49900,498,0.5,0.5,NA,-0.819796270496091,NA,-0.789157345095425
