"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
300,400,3,"Gen1Housemates",TRUE,0.5,0.5,"No",2008,1998,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,3,4,NA,2.13411093300723,NA,1.02426966321014
500,600,5,"Gen1Housemates",TRUE,0.5,0.5,"No",1989,2010,NA,0.5,0.5,0.5,0.5,0.5,NA,0.5,1,1,5,6,NA,-2.34873338013195,NA,-1.74222768170812
1300,1400,13,"Gen1Housemates",TRUE,0.5,0.5,"No",2006,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,13,14,NA,0.274432320973596,NA,1.03389068083996
1700,1800,17,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,0.375,0.5,0.5,0.5,0.5,0.5,1,1,17,18,NA,-0.384317940835132,NA,-0.731770551803795
2000,2100,20,"Gen1Housemates",TRUE,0.5,0.5,"No",2008,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,20,21,NA,-1.23069421746059,NA,-0.839068698652887
2300,2400,23,"Gen1Housemates",TRUE,0.5,0.5,"No",1992,1998,NA,0.5,NA,NA,NA,NA,NA,NA,1,1,23,24,NA,0.945234236158523,NA,0.634114364819605
2700,2800,27,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,27,28,NA,-0.498465396290832,NA,0.280500442729841
2900,3000,29,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,29,30,NA,0.623418850004854,NA,-0.0957737907378582
3200,3300,32,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,32,33,NA,-1.24638822715462,NA,NA
3400,3500,34,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1998,NA,NA,0.375,0.5,0.5,0.5,0.5,NA,1,1,34,35,NA,-0.396369594211331,NA,-0.849584914435335
3700,3800,37,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,37,38,NA,1.01916857113468,NA,-0.479039590570348
4000,4100,40,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,0.375,0.5,0.5,0.5,0.5,0.5,1,1,40,41,NA,-1.34697514049335,NA,0.945234236158523
5000,5100,50,"Gen1Housemates",TRUE,NA,NA,"No",2010,1979,NA,NA,NA,NA,NA,NA,NA,NA,1,1,50,51,NA,-0.0957737907378582,NA,NA
5500,5600,55,"Gen1Housemates",TRUE,NA,NA,"No",1979,1982,NA,NA,NA,NA,NA,NA,NA,NA,1,1,55,56,NA,NA,NA,0.324000376161959
5800,5900,58,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,NA,NA,0.25,0.5,1,1,58,59,NA,-0.872426811722727,NA,-0.345216900854757
5800,6000,58,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2000,NA,0.25,0.5,0.5,0.5,0.5,0.5,NA,1,1,58,60,NA,-0.872426811722727,NA,-0.396369594211331
5900,6000,58,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2000,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,59,60,NA,-0.345216900854757,NA,-0.396369594211331
6100,6200,61,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,61,62,NA,0.648442349765021,NA,2.12476948867378
6300,6400,63,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1986,NA,NA,NA,0.5,0.5,0.5,0.5,NA,1,1,63,64,NA,0.0331817845212667,NA,0.60983327856606
6300,6500,63,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1986,NA,NA,NA,0.5,0.5,0.5,0.5,NA,1,1,63,65,NA,0.0331817845212667,NA,0.657195561784899
6400,6500,63,"Gen1Housemates",TRUE,0.5,0.5,"No",1986,1986,NA,NA,NA,0.5,NA,NA,NA,NA,1,1,64,65,NA,0.60983327856606,NA,0.657195561784899
6700,6800,67,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,67,68,NA,0.973591800037851,NA,2.15175160354551
7000,7100,70,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,1,1,70,71,NA,-0.396369594211331,NA,0.0331817845212667
7400,7500,74,"Gen1Housemates",TRUE,0.5,0.5,"No",1994,2010,NA,0.5,0.5,0.5,0.5,0.5,NA,0.5,1,1,74,75,NA,0.648442349765021,NA,0.272615036319898
7400,7600,74,"Gen1Housemates",TRUE,0.5,0.5,"No",1994,2010,NA,0.5,0.5,0.5,0.5,0.5,NA,0.5,1,1,74,76,NA,0.648442349765021,NA,1.0209451211715
7500,7600,74,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,75,76,NA,0.272615036319898,NA,1.0209451211715
7800,7900,78,"Gen1Housemates",TRUE,0.5,0.5,"No",2006,2004,NA,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,78,79,NA,-0.124503980858937,NA,0.634114364819605
8000,8100,80,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,80,81,NA,-0.625327106578891,NA,0.346026827107957
8300,8400,83,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,1,83,84,NA,0.973591800037851,NA,-0.625327106578891
8500,8600,85,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,85,86,NA,-1.34697514049335,NA,-1.99431105801841
8500,8700,85,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,85,87,NA,-1.34697514049335,NA,-0.625327106578891
8600,8700,85,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,86,87,NA,-1.99431105801841,NA,-0.625327106578891
9000,9100,90,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,90,91,NA,0.274432320973596,NA,1.03389068083996
9400,9500,94,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.375,NA,NA,NA,0.5,1,1,94,95,NA,-0.723795376053378,NA,0.249457434572959
9600,1175100,96,"Gen1Housemates",TRUE,NA,0,"No",2010,2010,NA,NA,NA,NA,NA,0,NA,NA,1,1,96,11751,NA,-0.0957737907378582,NA,0.6098333
10100,10200,101,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,101,102,NA,-1.73797342458119,NA,-0.829607688597292
10700,10800,107,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,107,108,NA,-0.0112974876418913,NA,-0.731770551803795
11000,11100,110,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,110,111,NA,0.634114364819605,NA,-1.60652153090572
11000,11200,110,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,110,112,NA,0.634114364819605,NA,1.41058579989502
11100,11200,110,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,111,112,NA,-1.60652153090572,NA,1.41058579989502
11300,11400,113,"Gen1Housemates",TRUE,NA,NA,"No",1986,1990,NA,NA,NA,NA,NA,NA,NA,NA,1,1,113,114,NA,-0.0112974876418913,NA,-0.0448405056168866
11500,11600,115,"Gen1Housemates",TRUE,0.5,0.5,"No",1985,1991,NA,NA,NA,0.5,NA,NA,NA,NA,1,1,115,116,NA,0.623418850004854,NA,0.706210384852589
11500,11700,115,"Gen1Housemates",TRUE,0.5,0.5,"No",1985,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,115,117,NA,0.623418850004854,NA,0.322621925570974
11600,11700,115,"Gen1Housemates",TRUE,0.5,0.5,"No",1991,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,116,117,NA,0.706210384852589,NA,0.322621925570974
11800,11900,118,"Gen1Housemates",TRUE,0.5,0.5,"No",1998,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,118,119,NA,1.76246347904971,NA,-0.0448405056168866
12000,12100,120,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,120,121,NA,0.65654133878384,NA,0.27828375287936
12400,12500,124,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2002,NA,NA,NA,0.5,0.5,0.5,NA,0.5,1,1,124,125,NA,-1.2107161526104,NA,0.294636929601359
12400,12600,124,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,124,126,NA,-1.2107161526104,NA,0.60983327856606
12500,12600,124,"Gen1Housemates",TRUE,0.5,0.5,"No",2002,2010,NA,0.25,NA,0.5,0.5,0.5,NA,0.5,1,1,125,126,NA,0.294636929601359,NA,0.60983327856606
13400,13500,134,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,134,135,NA,-0.396369594211331,NA,-0.941060669990924
13700,13800,137,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,137,138,NA,0.64752111717717,NA,-0.479039590570348
13700,13900,137,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,137,139,NA,0.64752111717717,NA,-0.625327106578891
13800,13900,137,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,138,139,NA,-0.479039590570348,NA,-0.625327106578891
14200,14300,142,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,142,143,NA,-0.0112974876418913,NA,-0.0957737907378582
14200,14400,142,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,142,144,NA,-0.0112974876418913,NA,-0.0910133942795237
14300,14400,142,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,143,144,NA,-0.0957737907378582,NA,-0.0910133942795237
14500,14600,145,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,145,146,NA,-0.345216900854757,NA,-0.625327106578891
14800,14900,148,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,0.375,0.5,0.5,0.5,0.5,0.5,1,1,148,149,NA,0.362436230071345,NA,0.280500442729841
15100,15200,151,"Gen1Housemates",TRUE,0.5,0.5,"No",1996,2010,NA,0.5,0.5,0.5,0.5,0.5,NA,0.5,1,1,151,152,NA,-0.124503980858937,NA,-0.0957737907378582
15300,15400,153,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1979,NA,NA,NA,0.5,0.5,0.5,0.5,NA,1,1,153,154,NA,-0.854866904015471,NA,NA
15700,15800,157,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2008,NA,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,157,158,NA,-0.479039590570348,NA,-1.2107161526104
15700,15900,157,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2000,NA,0.5,0.5,0.5,NA,NA,NA,NA,1,1,157,159,NA,-0.479039590570348,NA,-1.62034964258652
15800,15900,157,"Gen1Housemates",TRUE,0.5,0.5,"No",2008,2000,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,158,159,NA,-1.2107161526104,NA,-1.62034964258652
16000,16100,160,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,160,161,NA,0.657195561784899,NA,1.3908160250922
16200,16300,162,"Gen1Housemates",TRUE,0.5,0.5,"No",2006,1992,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,162,163,NA,0.274432320973596,NA,0.65654133878384
16500,16600,165,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2008,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,165,166,NA,0.623418850004854,NA,-0.0609686366188677
16800,16900,168,"Gen1Housemates",TRUE,NA,0.0625,"No",2010,2010,NA,NA,NA,NA,NA,NA,NA,NA,1,1,168,169,NA,0.369416298763833,NA,-0.854866904015471
17500,17600,175,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1993,NA,0.5,NA,0.5,0.5,0.5,0.5,NA,1,1,175,176,NA,0.249457434572959,NA,-0.103212277125225
17500,17700,175,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,175,177,NA,0.249457434572959,NA,0.294636929601359
17600,17700,175,"Gen1Housemates",TRUE,0.5,0.5,"No",1993,2010,NA,0.5,NA,0.5,0.5,0.5,NA,0.5,1,1,176,177,NA,-0.103212277125225,NA,0.294636929601359
18100,18200,181,"Gen1Housemates",TRUE,NA,NA,"No",2010,2010,NA,NA,NA,NA,NA,NA,NA,NA,1,1,181,182,NA,NA,NA,NA
18300,18400,183,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,183,184,NA,-0.839068698652887,NA,0.249457434572959
18300,18500,183,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,183,185,NA,-0.839068698652887,NA,0.667798701382677
18400,18500,183,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,184,185,NA,0.249457434572959,NA,0.667798701382677
18600,18700,186,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,1994,NA,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,186,187,NA,0.272615036319898,NA,1.63311432420684
19000,19100,190,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,190,191,NA,-0.467421244695372,NA,-0.625327106578891
19300,19400,193,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2004,NA,0.5,0.5,0.5,0.5,0.5,0.5,NA,1,1,193,194,NA,-0.723795376053378,NA,0.667798701382677
20600,20700,206,"Gen1Housemates",TRUE,0.5,0.5,"No",2000,2010,NA,NA,NA,0.5,0.5,0.5,NA,0.5,1,1,206,207,NA,-0.929401052471638,NA,0.0331817845212667
21000,21100,210,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,210,211,NA,-0.0112974876418913,NA,-0.849584914435335
21200,21300,212,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,212,213,NA,0.634114364819605,NA,0.65654133878384
21200,21400,212,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,212,214,NA,0.634114364819605,NA,0.694120636572701
21300,21400,212,"Gen1Housemates",TRUE,0.5,0.5,"No",2008,2010,0.5,0.5,NA,0.5,0.5,0.5,0.5,0.5,1,1,213,214,NA,0.65654133878384,NA,0.694120636572701
21600,21700,216,"Gen1Housemates",TRUE,NA,NA,"No",2010,1980,NA,NA,NA,NA,NA,NA,NA,NA,1,1,216,217,NA,NA,NA,NA
21900,22000,219,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,219,220,NA,-0.103212277125225,NA,1.01916857113468
22100,22200,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,0.375,0.5,0.5,0.5,0.5,0.5,1,1,221,222,NA,-1.19890483575618,NA,-1.40257246698872
22100,22300,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,221,223,NA,-1.19890483575618,NA,-1.68089455370622
22100,22400,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,0.375,0.5,NA,NA,0.5,0.25,1,1,221,224,NA,-1.19890483575618,NA,-0.472889795380276
22200,22300,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,222,223,NA,-1.40257246698872,NA,-1.68089455370622
22200,22400,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,222,224,NA,-1.40257246698872,NA,-0.472889795380276
22300,22400,221,"Gen1Housemates",TRUE,0.5,0.5,"No",2010,2010,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,1,223,224,NA,-1.68089455370622,NA,-0.472889795380276
