"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
201,202,2,"Gen2Siblings",TRUE,0.5,0.5,"No",2004,2004,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,201,202,97.5,NA,103,NA
301,302,3,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,301,302,104,0.489423327229364,86,1.98312205420134
301,303,3,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,301,303,104,0.489423327229364,77,0.888698998947474
302,303,3,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,302,303,86,1.98312205420134,77,0.888698998947474
401,403,3,"Gen2Siblings",TRUE,0.25,0.25,"No",1998,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,2,2,401,403,101,-0.30481034385023,NA,NA
801,802,8,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,801,802,102,1.2535066840321,107,1.17108464204893
801,803,8,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,801,803,102,1.2535066840321,104.5,1.4615362418355
802,803,8,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,802,803,107,1.17108464204893,104.5,1.4615362418355
1001,1002,10,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1994,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,1001,1002,99,0.466215815811856,106,NA
1201,1202,12,"Gen2Siblings",TRUE,0.5,0.5,"No",1994,1994,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,1201,1202,106,NA,NA,NA
1601,1602,16,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,1601,1602,105,0.570766085282081,98,0.752207479899074
1601,1603,16,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,1601,1603,105,0.570766085282081,94,NA
1602,1603,16,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,1602,1603,98,0.752207479899074,94,NA
2501,2502,25,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2501,2502,109,-0.376462737100947,105,0.55053829244556
2701,2702,27,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2701,2702,118,0.489423327229364,121,-0.435980549879237
3001,3002,29,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,3001,3002,NA,0.886509026076423,NA,NA
3001,3003,29,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,3001,3003,NA,0.886509026076423,NA,-1.11104720775676
3002,3003,29,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,3002,3003,NA,NA,NA,-1.11104720775676
3501,3502,34,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,1998,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,3501,3502,99,NA,106,NA
4301,4302,43,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2010,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2,2,4301,4302,97,-0.508360431942781,89,-0.871595588657143
4301,4303,43,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,2,2,4301,4303,97,-0.508360431942781,99,NA
4301,4304,43,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,NA,0.25,0.375,0.25,0.25,0.25,0.25,NA,2,2,4301,4304,97,-0.508360431942781,83.5,NA
4302,4303,43,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,0.25,0.25,0.25,0.5,0.5,0.25,0.5,NA,2,2,4302,4303,89,-0.871595588657143,99,NA
4302,4304,43,"Gen2Siblings",TRUE,0.25,0.25,"No",2010,2008,0.25,0.25,0.25,0.5,0.5,0.25,0.5,NA,2,2,4302,4304,89,-0.871595588657143,83.5,NA
4303,4304,43,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2008,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,4303,4304,99,NA,83.5,NA
4401,4402,44,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4401,4402,102,-0.577747632417546,103,-0.205724056306393
