"ExtendedID","Subject1Tag","Subject2Tag","R","RelationshipPath"
3,300,400,0.5,"Gen1Housemates"
5,500,600,0.5,"Gen1Housemates"
13,1300,1400,0.5,"Gen1Housemates"
17,1700,1800,0.5,"Gen1Housemates"
20,2000,2100,0.5,"Gen1Housemates"
23,2300,2400,0.375,"Gen1Housemates"
27,2700,2800,0.5,"Gen1Housemates"
29,2900,3000,0.5,"Gen1Housemates"
32,3200,3300,0.5,"Gen1Housemates"
34,3400,3500,0.5,"Gen1Housemates"
37,3700,3800,0.5,"Gen1Housemates"
40,4000,4100,0.5,"Gen1Housemates"
50,5000,5100,0.375,"Gen1Housemates"
55,5500,5600,0.375,"Gen1Housemates"
58,5800,5900,0.375,"Gen1Housemates"
58,5800,6000,0.5,"Gen1Housemates"
58,5900,6000,0.5,"Gen1Housemates"
61,6100,6200,0.5,"Gen1Housemates"
63,6300,6400,0.5,"Gen1Housemates"
63,6300,6500,0.5,"Gen1Housemates"
63,6400,6500,0.5,"Gen1Housemates"
67,6700,6800,0.5,"Gen1Housemates"
70,7000,7100,0.375,"Gen1Housemates"
74,7400,7500,0.5,"Gen1Housemates"
74,7400,7600,0.5,"Gen1Housemates"
74,7500,7600,0.5,"Gen1Housemates"
78,7800,7900,0.5,"Gen1Housemates"
80,8000,8100,0.5,"Gen1Housemates"
83,8300,8400,0.5,"Gen1Housemates"
85,8500,8600,0.5,"Gen1Housemates"
85,8500,8700,0.5,"Gen1Housemates"
85,8600,8700,0.5,"Gen1Housemates"
90,9000,9100,0.5,"Gen1Housemates"
94,9400,9500,0.5,"Gen1Housemates"
101,10100,10200,0.5,"Gen1Housemates"
107,10700,10800,0.5,"Gen1Housemates"
110,11000,11100,0.5,"Gen1Housemates"
110,11000,11200,0.5,"Gen1Housemates"
110,11100,11200,0.5,"Gen1Housemates"
113,11300,11400,0.375,"Gen1Housemates"
115,11500,11600,0.5,"Gen1Housemates"
115,11500,11700,0.5,"Gen1Housemates"
115,11600,11700,0.5,"Gen1Housemates"
118,11800,11900,0.5,"Gen1Housemates"
120,12000,12100,0.5,"Gen1Housemates"
124,12400,12500,0.5,"Gen1Housemates"
124,12400,12600,0.5,"Gen1Housemates"
124,12500,12600,0.5,"Gen1Housemates"
134,13400,13500,0.375,"Gen1Housemates"
137,13700,13800,0.5,"Gen1Housemates"
137,13700,13900,0.5,"Gen1Housemates"
137,13800,13900,0.5,"Gen1Housemates"
142,14200,14300,0.5,"Gen1Housemates"
142,14200,14400,0.5,"Gen1Housemates"
142,14300,14400,0.5,"Gen1Housemates"
145,14500,14600,0.5,"Gen1Housemates"
148,14800,14900,0.5,"Gen1Housemates"
151,15100,15200,0.5,"Gen1Housemates"
153,15300,15400,0.5,"Gen1Housemates"
157,15700,15800,0.5,"Gen1Housemates"
157,15700,15900,0.5,"Gen1Housemates"
157,15800,15900,0.5,"Gen1Housemates"
160,16000,16100,0.5,"Gen1Housemates"
162,16200,16300,0.5,"Gen1Housemates"
165,16500,16600,0.5,"Gen1Housemates"
168,16800,16900,0.375,"Gen1Housemates"
175,17500,17600,0.375,"Gen1Housemates"
175,17500,17700,0.375,"Gen1Housemates"
175,17600,17700,0.375,"Gen1Housemates"
181,18100,18200,0.375,"Gen1Housemates"
183,18300,18400,0.5,"Gen1Housemates"
183,18300,18500,0.5,"Gen1Housemates"
183,18400,18500,0.5,"Gen1Housemates"
